Topic,Question
"Nutrition, Physical Activity, and Weight Status",Met aerobic physical activity guideline among high school students
Oral Health,Visited dentist or dental clinic in the past year among adults
Alcohol,Binge drinking intensity among adults who binge drink
Health Status,Life expectancy at birth
Mental Health,Average mentally unhealthy days among adults
Alcohol,Per capita alcohol consumption among people aged 14 years and older
"Nutrition, Physical Activity, and Weight Status",Obesity among high school students
Cancer,"Cervical cancer mortality among all females, underlying cause"
Cancer,"Lung and bronchial cancer mortality among all people, underlying cause"
Social Determinants of Health,Unemployment rate among people 16 years and older in the labor force
Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause"
Diabetes,Gestational diabetes among women with a recent live birth
Social Determinants of Health,Living below 150% of the poverty threshold among all people
Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk
Cancer,Mammography use among women aged 50-74 years
Oral Health,Six or more teeth lost among adults aged 65 years and older
"Nutrition, Physical Activity, and Weight Status",Obesity among adults
Cognitive Health and Caregiving,Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline
"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults
Tobacco,Current tobacco use of any tobacco product among high school students
Diabetes,Diabetes among adults
Alcohol,Alcohol use among high school students
Tobacco,Current cigarette smoking among adults
Cancer,"Breast cancer mortality among all females, underlying cause"
Health Status,Frequent physical distress among adults
Cardiovascular Disease,High blood pressure among adults
Arthritis,Received health care provider counseling for physical activity among adults with arthritis
Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older"
Oral Health,Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years
"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline
"Nutrition, Physical Activity, and Weight Status",Consumed regular soda at least one time daily among high school students
Social Determinants of Health,Lack of social and emotional support needed among adults
Mental Health,Depression among adults
Arthritis,Activity limitation due to arthritis among adults with arthritis
Health Status,2 or more chronic conditions among adults
Tobacco,Quit attempts in the past year among adult current smokers
Cancer,"Invasive cancer (all sites combined), incidence"
Mental Health,Postpartum depressive symptoms among women with a recent live birth
Arthritis,Arthritis among adults
Social Determinants of Health,"Unable to pay mortgage, rent, or utility bills in the past 12 months among adults"
Sleep,Short sleep duration among adults
Alcohol,Binge drinking frequency among adults who binge drink
Health Status,Fair or poor self-rated health status among adults
Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease
"Nutrition, Physical Activity, and Weight Status",Infants who were exclusively breastfed through 6 months
Health Status,Average recent physically unhealthy days among adults
Immunization,Influenza vaccination among adults
Alcohol,Binge drinking prevalence among high school students
Cancer,Colorectal cancer screening among adults aged 45-75 years
Social Determinants of Health,Health insurance coverage after pregnancy among women with a recent live birth
Social Determinants of Health,Lack of health insurance among adults aged 18-64 years
Diabetes,"Diabetes mortality among all people, underlying or contributing cause"
Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults
Alcohol,"Chronic liver disease mortality among all people, underlying cause"
Cancer,Cervical cancer screening among women aged 21-65 years
Mental Health,Current poor mental health among high school students
Oral Health,Preventive dental care in the 12 months before pregnancy among women with a recent live birth
Cancer,"Prostate cancer mortality among all males, underlying cause"
Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause"
Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause"
"Nutrition, Physical Activity, and Weight Status",Infants who were breastfed at 12 months
Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause"
Asthma,Current asthma among adults
Social Determinants of Health,No broadband internet subscription among households
Cardiovascular Disease,Taking medicine for high cholesterol among adults
"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among adults
Health Status,Recent activity limitation among adults
Oral Health,All teeth lost among adults aged 65 years and older
Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis
Sleep,Short sleep duration among children aged 4 months to 14 years
Asthma,"Asthma mortality among all people, underlying cause"
Mental Health,Frequent mental distress among adults
"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among high school students
Social Determinants of Health,Health insurance coverage in the month before pregnancy among women with a recent live birth
Tobacco,Cigarette smoking during pregnancy among women with a recent live birth
Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause"
Tobacco,"Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars"
"Nutrition, Physical Activity, and Weight Status",Obesity among WIC children aged 2 to 4 years
