Topic,Question,TopicID
Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",58
Oral Health,Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years,59
"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,60
"Nutrition, Physical Activity, and Weight Status",Consumed regular soda at least one time daily among high school students,61
Social Determinants of Health,Lack of social and emotional support needed among adults,62
Mental Health,Depression among adults,63
Arthritis,Activity limitation due to arthritis among adults with arthritis,64
Health Status,2 or more chronic conditions among adults,65
Tobacco,Quit attempts in the past year among adult current smokers,66
Cancer,"Invasive cancer (all sites combined), incidence",67
Mental Health,Postpartum depressive symptoms among women with a recent live birth,68
Arthritis,Arthritis among adults,69
Social Determinants of Health,"Unable to pay mortgage, rent, or utility bills in the past 12 months among adults",70
Sleep,Short sleep duration among adults,71
Alcohol,Binge drinking frequency among adults who binge drink,72
Health Status,Fair or poor self-rated health status among adults,73
Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,74
"Nutrition, Physical Activity, and Weight Status",Infants who were exclusively breastfed through 6 months,75
Health Status,Average recent physically unhealthy days among adults,76
Immunization,Influenza vaccination among adults,77
Alcohol,Binge drinking prevalence among high school students,78
Cancer,Colorectal cancer screening among adults aged 45-75 years,79
Social Determinants of Health,Health insurance coverage after pregnancy among women with a recent live birth,80
Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,81
Diabetes,"Diabetes mortality among all people, underlying or contributing cause",82
Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,83
Alcohol,"Chronic liver disease mortality among all people, underlying cause",84
Cancer,Cervical cancer screening among women aged 21-65 years,85
Mental Health,Current poor mental health among high school students,86
Oral Health,Preventive dental care in the 12 months before pregnancy among women with a recent live birth,87
Cancer,"Prostate cancer mortality among all males, underlying cause",88
Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",89
Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause",90
"Nutrition, Physical Activity, and Weight Status",Infants who were breastfed at 12 months,91
Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",92
Asthma,Current asthma among adults,93
Social Determinants of Health,No broadband internet subscription among households,94
Cardiovascular Disease,Taking medicine for high cholesterol among adults,95
"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among adults,96
Health Status,Recent activity limitation among adults,97
Oral Health,All teeth lost among adults aged 65 years and older,98
Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,99
Sleep,Short sleep duration among children aged 4 months to 14 years,100
Asthma,"Asthma mortality among all people, underlying cause",101
Mental Health,Frequent mental distress among adults,102
"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among high school students,103
Social Determinants of Health,Health insurance coverage in the month before pregnancy among women with a recent live birth,104
Tobacco,Cigarette smoking during pregnancy among women with a recent live birth,105
Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",106
Tobacco,"Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars",107
"Nutrition, Physical Activity, and Weight Status",Obesity among WIC children aged 2 to 4 years,108
